1,Administration,5,35.300950300642754,-120.65857842564583
2,Cotchett Education Building,3,35.30033956011347,-120.66451415419579
3,Business,4,35.300048416948435,-120.66510826349258
4,Research and Development Center,2,35.3055121020108,-120.66482797265053
5,Architecture & Environmental Design,4,35.30086273955961,-120.66444307565689
6,Christopher Cohan Center,4,35.29947926187104,-120.6572225689888
7,Advanced Technologies Laboratories,1,35.30219365779806,-120.66514045000076
8,Bioresource and Agricultural Engineering,2,35.30307800583764,-120.66164821386337
8A,Bioresource and Agricultural Engineering Shop,2,35.303493908752145,-120.66229194402695
9,Farm Shop,1,35.30440013190911,-120.66232949495316
10,Alan A. Erhart Agriculture,2,35.30238191091327,-120.66141083836555
11,Agricultural Sciences,3,35.30284597486158,-120.66294506192207
13,Engineering,2,35.30155884755303,-120.66529467701912
14,Frank E. Pilling Building,3,35.30017650898093,-120.66224366426468
15,Cal Poly Corporation Administration,,,
16,Beef Unit,,,
17,Crops Unit,,,
18,Dairy Science Milking Parlor,,,
18A,Leprino Foods Dairy Innovation Institute,,,
19,Dining Complex,,,
20,Engineering East,,,
21,Engineering West,,,
22,English,,,
24,Food Processing,,,
25,Faculty Offices East,,,
26,Graphic Arts,,,
26M,Modular,,,
27,Health Center,,,
28,Albert B. Smith Alumni and Conference Center,,,
31,Housing Administration Building,,,
32,Cal Poly Equine Center,,,
33,Clyde P. Fisher Science Hall,,,
34,Walter F. Dexter Building,,,
35,Robert E. Kennedy Library,,,
36,University Police,,,
38,Mathematics and Science,,,
40,Engineering South,,,
41,Engineering III,,,
42,Robert E. Mott Physical Education,,,
43,Recreation Center,,,
43A,Kinesiology,,,
44,Alex and Fay Spanos Theatre,,,
45,H.P. Davidson Music Center,,,
46,Old Natatorium,,,
47,Faculty Offices North,,,
48,Environmental Horticultural Science,,,
50,"Bishop Warehouse, Rose Float, ITS Storage",,,
52,Science,,,
53,Science North,,,
55A,Beef Cattle Evaluation Center,,,
56,Swine Unit,,,
57,Veterinary Hospital,,,
58,Welding,,,
60,Crandall Gymnasium & Old Natatorium,,,
61,Alex G. Spanos Stadium,,,
65,Julian A. McPhee University Union,,,
70,Facilities,,,
71,Transportation Services,,,
74M,Modular,,,
80,Housing Warehouse - Environmental Health & Safety,,,
81,Hillcrest,,,
82,Corporation Warehouse,,,
83,Technology Park,,,
92M,Modular,,,
100,Shasta Hall,,,
101,Diablo Hall,,,
102,Palomar Hall,,,
103,Whitney Hall,,,
104,Lassen Hall,,,
105,Trinity Hall,,,
106,Santa Lucia Hall,,,
107,Muir Hall,,,
108,Sequoia Hall,,,
109,Fremont Hall,,,
110,Tenaya Hall,,,
112,Vista Grande,,,
113,Sierra Madre Hall,,,
114,Yosemite Hall,,,
115,Chase Hall,,,
116,Jespersen Hall,,,
117,Heron Hall,,,
121,Cheda Ranch,,,
122,Parker Ranch,,,
123,Peterson Ranch,,,
124,Student Services,,,
125,Serrano Ranch,,,
126,Chorro Creek Ranch,,,
127,Escuela Beef Center,,,
130,Grand Avenue Parking Structure,,,
133,Orfalea Family and ASI Children’s Center,,,
150,Poultry Science Instructional Center,,,
154,Animal Nutrition Center,,,
155,J & G Lau Family Meat Processing Center,,,
160,Sports Complex,,,
170,Cerro Vista Room Number Map,,,
170A,Cerro Morro,,,
170B,Cerro Cabrillo,,,
170C,Cerro Hollister,,,
170D,Cerro Romauldo,,,
170E,Cerro Bishop,,,
170F,Cerro Islay,,,
170G,Cerro San Luis,,,
171,Poly Canyon Village,,,
180,Warren J. Baker Center for Science and Mathematics,,,
186,Construction Innovations Center,,,
192,Engineering IV,,,
197,Bonderson Engineering Projet Center,,,
271,Village Drive Parking Structure,,,
371,Canyon Circle Parking Structure,,,
371B,Housing Depot,,,
